@RELATION apeic
@ATTRIBUTE hour_of_day {0, 1, 2, 3, 4, 5}
@ATTRIBUTE day_of_week {1, 2, 3, 4, 5, 6, 7}
@ATTRIBUTE stay_point {0, 1, 2, 3, 4, 5, 6, 7, 8, -1}
@ATTRIBUTE activity {STILL, TILTING, UNKNOWN, ON_FOOT, ON_BICYCLE, IN_VEHICLE}
@ATTRIBUTE application {com.htc.launcher, com.android.chrome, com.google.android.apps.maps, com.facebook.orca, com.facebook.katana, tw.edu.ntu.ee.arbor.apeic, tw.com.alshatech.bikerker, com.google.android.apps.unveil, mobi.infolife.cache, com.wantoto.gomaji2, com.android.vending, com.android.packageinstaller, com.adobe.reader, com.google.android.apps.plus, com.google.android.youtube, com.android.htccontacts, com.android.phone, android, com.android.calculator2, jp.naver.line.android, com.google.android.calendar, com.android.systemui, com.joshua.jptt, com.google.android.gm, com.cht.tl334.chtwifi, com.htc.android.worldclock, com.android.settings, com.popularapp.periodcalendar, com.android.mms, net.rgruet.android.g3watchdog, nexti.android.bustaipei}
@data
1, 4, 0, STILL, com.facebook.orca
2, 4, 0, UNKNOWN, com.facebook.katana
2, 4, 0, STILL, com.android.chrome
2, 4, 0, STILL, com.htc.launcher
2, 4, 0, TILTING, com.facebook.katana
2, 4, 0, TILTING, com.android.chrome
2, 4, 0, UNKNOWN, com.htc.launcher
2, 4, 0, TILTING, com.facebook.katana
2, 4, 0, STILL, com.joshua.jptt
2, 4, 0, TILTING, com.facebook.katana
2, 4, 0, TILTING, com.joshua.jptt
2, 4, 0, TILTING, com.google.android.gm
2, 4, 0, UNKNOWN, com.joshua.jptt
2, 4, 0, STILL, com.android.chrome
2, 4, 0, STILL, com.htc.launcher
2, 4, 0, STILL, com.joshua.jptt
2, 4, 0, UNKNOWN, com.facebook.katana
2, 4, 0, STILL, com.joshua.jptt
1, 4, 0, TILTING, com.htc.launcher
1, 4, -1, ON_FOOT, nexti.android.bustaipei
1, 4, 0, TILTING, nexti.android.bustaipei
1, 4, 0, TILTING, com.htc.launcher
2, 4, 0, TILTING, com.facebook.orca
2, 4, -1, IN_VEHICLE, com.facebook.katana
2, 4, 0, UNKNOWN, com.android.chrome
2, 4, 1, TILTING, com.android.chrome
2, 4, 1, STILL, com.htc.launcher
2, 4, 1, STILL, com.popularapp.periodcalendar
2, 4, 1, STILL, com.htc.launcher
2, 4, 1, STILL, com.android.chrome
2, 4, 1, STILL, com.android.chrome
2, 4, 1, TILTING, com.android.chrome
3, 4, 1, STILL, com.htc.launcher
3, 4, 1, TILTING, com.htc.launcher
3, 4, 1, UNKNOWN, com.android.vending
1, 4, 1, TILTING, com.android.vending
1, 4, 1, TILTING, com.htc.launcher
1, 4, 1, TILTING, com.android.phone
1, 4, 1, TILTING, com.htc.launcher
1, 5, 1, STILL, com.android.chrome
3, 5, 1, STILL, com.facebook.katana
3, 5, 1, TILTING, com.android.chrome
3, 5, 1, STILL, com.facebook.katana
3, 5, 1, UNKNOWN, com.htc.launcher
3, 5, 1, STILL, com.joshua.jptt
3, 5, 1, STILL, com.joshua.jptt
3, 5, 1, TILTING, com.android.systemui
