@relation ff3be9536122e83f
@attribute latitude real
@attribute longitude real
@data
25.058391, 121.563332
25.058391, 121.563340
25.058391, 121.563345
25.058391, 121.563351
25.058392, 121.563306
25.058392, 121.563308
25.058392, 121.563309
25.058392, 121.563315
25.058392, 121.563316
25.058392, 121.563319
25.058392, 121.563320
25.058392, 121.563322
25.058392, 121.563323
25.058392, 121.563325
25.058392, 121.563326
25.058392, 121.563328
25.058392, 121.563329
25.058392, 121.563331
25.058392, 121.563333
25.058392, 121.563334
25.058392, 121.563335
25.058392, 121.563337
25.058392, 121.563343
25.058392, 121.563344
25.058393, 121.563291
25.058393, 121.563317
25.058393, 121.563318
25.058393, 121.563322
25.058393, 121.563323
25.058393, 121.563327
25.058393, 121.563332
25.058393, 121.563337
25.058393, 121.563341
25.058393, 121.563343
25.058393, 121.563346
25.058393, 121.563353
25.058393, 121.563355
25.058394, 121.563304
25.058394, 121.563305
25.058394, 121.563306
25.058394, 121.563320
25.058394, 121.563321
25.058394, 121.563322
25.058394, 121.563323
25.058394, 121.563325
25.058394, 121.563326
25.058394, 121.563328
25.058394, 121.563330
25.058394, 121.563331
25.058394, 121.563332
25.058394, 121.563333
25.058394, 121.563335
25.058394, 121.563336
25.058394, 121.563337
25.058394, 121.563340
25.058394, 121.563341
25.058394, 121.563344
25.058394, 121.563368
25.058395, 121.563302
25.058395, 121.563310
25.058395, 121.563318
25.058395, 121.563320
25.058395, 121.563323
25.058395, 121.563324
25.058395, 121.563328
25.058395, 121.563330
25.058395, 121.563332
25.058395, 121.563333
25.058395, 121.563334
25.058395, 121.563339
25.058395, 121.563343
25.058395, 121.563346
25.058395, 121.563361
25.058395, 121.563363
25.058396, 121.563289
25.058396, 121.563299
25.058396, 121.563310
25.058396, 121.563314
25.058396, 121.563315
25.058396, 121.563316
25.058396, 121.563318
25.058396, 121.563321
25.058396, 121.563322
25.058396, 121.563323
25.058396, 121.563325
25.058396, 121.563326
25.058396, 121.563327
25.058396, 121.563328
25.058396, 121.563329
25.058396, 121.563330
25.058396, 121.563333
25.058396, 121.563334
25.058396, 121.563336
25.058396, 121.563338
25.058396, 121.563346
25.058396, 121.563359
25.058396, 121.563372
25.058397, 121.563293
25.058397, 121.563297
25.058397, 121.563300
25.058397, 121.563302
25.058397, 121.563307
25.058397, 121.563310
25.058397, 121.563313
25.058397, 121.563318
25.058397, 121.563319
25.058397, 121.563320
25.058397, 121.563321
25.058397, 121.563322
25.058397, 121.563330
25.058397, 121.563331
25.058397, 121.563336
25.058397, 121.563337
25.058397, 121.563340
25.058397, 121.563348
25.058397, 121.563358
25.058397, 121.563364
25.058398, 121.563299
25.058398, 121.563304
25.058398, 121.563314
25.058398, 121.563316
25.058398, 121.563317
25.058398, 121.563318
25.058398, 121.563319
25.058398, 121.563322
25.058398, 121.563323
25.058398, 121.563325
25.058398, 121.563326
25.058398, 121.563327
25.058398, 121.563328
25.058398, 121.563330
25.058398, 121.563333
25.058398, 121.563334
25.058398, 121.563337
25.058398, 121.563339
25.058398, 121.563340
